Year,All
1950,97234280.93
1951,99971400.77
1952,137477613.9
1953,133900320.7
1954,138971189.7
1955,141628628.9
1956,151026849.2
1957,129394726.8
1958,143801546
1959,151007614.8
1960,137361261.1
1961,173638251.9
1962,153467736.6
1963,180097952.1
1964,151164037.7
1965,241665363.1
1966,265540667.7
1967,268294296.3
1968,246766421.7
1969,265261862.9
1970,278909667
1971,268686711
1972,302207284.5
1973,329741877.8
1974,367044216.7
1975,335650816.6
1976,480982313.5
1977,502905726
1978,794543311.8
1979,496216029.6
1980,507338987.1
1981,527450634.7
1982,643527135.8
1983,722918574.7
1984,800702555.8
1985,756661146
1986,652597695.7
1987,773024170.2
1988,991536654.4
1989,937900007.2
1990,1187032762
1991,940401513.1
1992,1285743499
1993,1268474305
1994,1441768998
1995,1144534889
1996,1421889675
1997,1431204986
1998,1626022123
1999,1658264538
2000,1830049559
2001,1850145890
2002,1803263362
2003,1608867443
2004,1679839457
2005,1707175190
2006,1994441403
2007,1886941029
2008,2038656320
2009,2046071677
2010,2326330826
2011,2056558945
2012,2001102077
2013,2059530650
2014,2345245473
2015,2355082116
2016,2355082116
2017,2355082116
2018,2355082116
2019,2355082116
2020,2355082116
